name_department,code_department,municipality,code_municipality,population,code_country
GUATEMALA,1,GUATEMALA,101,1205668,GT
ESCUINTLA,5,PALIN,511,70118,GT
CHIMALTENANGO,4,PATZUN,407,69560,GT
GUATEMALA,1,FRAIJANES,113,61664,GT
ESCUINTLA,5,ESCUINTLA,501,166078,GT
TOTONICAPAN,8,TOTONICAPAN,801,117483,GT
ZACAPA,19,ZACAPA,1901,65730,GT
GUATEMALA,1,MIXCO,108,494561,GT
CHIQUIMULA,20,CHIQUIMULA,2001,117014,GT
PETEN,17,FLORES,1701,43067,GT
QUETZALTENANGO,9,QUETZALTENANGO,901,196867,GT
SUCHITEPEQUEZ,10,MAZATENANGO,1001,83448,GT
GUATEMALA,1,AMATITLAN,114,147604,GT
SACATEPEQUEZ,3,SUMPANGO,304,45249,GT
QUETZALTENANGO,9,ALMOLONGA,913,16679,GT
GUATEMALA,1,CHINAUTLA,106,121721,GT
SUCHITEPEQUEZ,10,CHICACAO,1013,67994,GT
RETALHULEU,11,RETALHULEU,1101,108405,GT
ESCUINTLA,5,MASAGUA,505,47441,GT
GUATEMALA,1,PALENCIA,105,73811,GT
QUICHE,14,CHINIQUE,1403,13294,GT
QUICHE,14,CHICHICASTENANGO,1406,148943,GT
HUEHUETENANGO,13,CUILCO,1304,65178,GT
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,GT
ESCUINTLA,5,SIPACATE,514,17465,GT
SOLOLA,7,SOLOLA,701,98886,GT
JUTIAPA,22,JUTIAPA,2201,163665,GT
GUATEMALA,1,CHUARRANCHO,112,17957,GT
JUTIAPA,22,YUPILTEPEQUE,2206,17833,GT
QUETZALTENANGO,9,COATEPEQUE,920,117579,GT
PETEN,17,DOLORES,1708,29659,GT
JUTIAPA,22,MOYUTA,2214,50348,GT
IZABAL,18,LIVINGSTON,1802,79360,GT
HUEHUETENANGO,13,CHIANTLA,1302,91954,GT
SACATEPEQUEZ,3,PASTORES,303,19389,GT
JALAPA,21,MATAQUESCUINTLA,2107,45870,GT
SACATEPEQUEZ,3,JOCOTENANGO,302,23160,GT
CHIMALTENANGO,4,ACATENANGO,411,28043,GT
CHIMALTENANGO,4,PARRAMOS,414,19693,GT
QUICHE,14,CHICAMAN,1419,42342,GT
SACATEPEQUEZ,3,ALOTENANGO,314,27787,GT
QUETZALTENANGO,9,ZUNIL,916,15414,GT
CHIMALTENANGO,4,ZARAGOZA,415,28473,GT
ESCUINTLA,5,SIQUINALA,504,25677,GT
QUETZALTENANGO,9,OLINTEPEQUE,903,38219,GT
IZABAL,18,MORALES,1804,106156,GT
QUETZALTENANGO,9,CANTEL,914,45229,GT
SUCHITEPEQUEZ,10,SAMAYAC,1008,26350,GT
SUCHITEPEQUEZ,10,PATULUL,1014,41984,GT
JALAPA,21,JALAPA,2101,188522,GT
RETALHULEU,11,CHAMPERICO,1107,38006,GT
HUEHUETENANGO,13,TECTITAN,1321,11635,GT
QUICHE,14,IXCAN,1420,107265,GT
QUETZALTENANGO,9,COLOMBA,917,55290,GT
JUTIAPA,22,QUEZADA,2217,23311,GT
ESCUINTLA,5,TIQUISATE,506,62895,GT
HUEHUETENANGO,13,AGUACATAN,1327,57977,GT
CHIQUIMULA,20,QUETZALTEPEQUE,2009,29377,GT
SOLOLA,7,PANAJACHEL,710,15840,GT
SUCHITEPEQUEZ,10,CUYOTENANGO,1002,37283,GT
HUEHUETENANGO,13,HUEHUETENANGO,1301,129232,GT
QUETZALTENANGO,9,SALCAJA,902,20851,GT
ZACAPA,19,HUITE,1910,11948,GT
ZACAPA,19,TECULUTAN,1905,20032,GT
HUEHUETENANGO,13,NENTON,1305,49299,GT
PETEN,17,SAYAXCHE,1710,97003,GT
ZACAPA,19,GUALAN,1904,49410,GT
CHIMALTENANGO,4,YEPOCAPA,412,41304,GT
HUEHUETENANGO,13,COLOTENANGO,1319,43622,GT
ZACAPA,19,USUMATLAN,1906,13071,GT
QUETZALTENANGO,9,GENOVA,921,45162,GT
CHIMALTENANGO,4,PATZICIA,409,39337,GT
QUETZALTENANGO,9,CABRICAN,906,27307,GT
CHIQUIMULA,20,ESQUIPULAS,2007,55723,GT
ESCUINTLA,5,GUANAGAZAPA,508,17234,GT
QUICHE,14,SACAPULAS,1416,54845,GT
TOTONICAPAN,8,MOMOSTENANGO,805,136909,GT
CHIQUIMULA,20,JOCOTAN,2004,73093,GT
PETEN,17,POPTUN,1712,66883,GT
SUCHITEPEQUEZ,10,ZUNILITO,1018,8724,GT
ZACAPA,19,ESTANZUELA,1902,10859,GT
CHIMALTENANGO,4,POCHUTA,408,10996,GT
JUTIAPA,22,ATESCATEMPA,2207,19514,GT
CHIQUIMULA,20,IPALA,2011,23435,GT
JUTIAPA,22,COMAPA,2211,36047,GT
QUICHE,14,CANILLA,1418,12577,GT
SOLOLA,7,NAHUALA,705,91523,GT
QUICHE,14,CHICHE,1402,32038,GT
QUICHE,14,NEBAJ,1413,75979,GT
QUETZALTENANGO,9,SIBILIA,905,8766,GT
QUETZALTENANGO,9,CAJOLA,907,18896,GT
HUEHUETENANGO,13,BARILLAS,1326,122466,GT
QUICHE,14,CUNEN,1410,46350,GT
JUTIAPA,22,JALPATAGUA,2212,30912,GT
ZACAPA,19,CABAÃ‘AS,1907,14440,GT
JUTIAPA,22,JEREZ,2208,6706,GT
QUETZALTENANGO,9,HUITAN,915,14522,GT
HUEHUETENANGO,13,JACALTENANGO,1307,42375,GT
ESCUINTLA,5,IZTAPA,510,19778,GT
CHIQUIMULA,20,OLOPA,2006,29283,GT
QUICHE,14,JOYABAJ,1412,104861,GT
HUEHUETENANGO,13,MALACATANCITO,1303,21855,GT
JALAPA,21,MONJAS,2106,28097,GT
JUTIAPA,22,CONGUACO,2213,29121,GT
QUICHE,14,ZACUALPA,1404,39269,GT
CHIQUIMULA,20,CAMOTAN,2005,60848,GT
HUEHUETENANGO,13,PETATAN,1333,6861,GT
JUTIAPA,22,PASACO,2215,11057,GT
QUICHE,14,CHAJUL,1405,50814,GT
QUICHE,14,PACHALUN,1421,9652,GT
QUICHE,14,PATZITE,1407,7462,GT
JUTIAPA,22,ZAPOTITLAN,2210,10340,GT
